# Bengali pronunciation lexicon — genuinely-LEXICAL whole-word overrides for the vowel classes the rule engine
# cannot derive (closed-syllable ɔ→o, medial-ɔ retention, final-[o] retention; PROVEN lexical by the minimal
# pair মন[mon] vs কম[kɔm], identical shape, opposite outcome — an etymological tatsama/tadbhava split).
#
# PROVENANCE: 331 entries = (a) 156 CROSS-SOURCE CONSENSUS — our engine's own consonant skeleton with the
# vowel(s) set to the sequence that TWO independent human references AGREE on: wikipron ben (CC BY-SA, Kolkata)
# AND Bengali.AI DUAL-IPA (Dhaka; used OFFLINE for validation only, not redistributed). Two dialects agreeing
# filters out both wikipron noise and dialect-specific forms (it correctly ABSTAINS on জীবন→d͡ʒibɔn). Plus
# (b) a 12-word HAND supplement of high-frequency common words, each corroborated by DUAL and/or wikipron +
# standard-Kolkata knowledge (verb ô→o before -e: bole/d̪ʱoɾe/ɦole/boʃe; the িয়ে glide drop-j: nie/d̪ie/ɡie;
# এক→æk consistency: ækʈi/ækʰɔn; medial retention: kaɾone) — skipped where a source disagreed (চলে, পড়ে).
#
# Pronunciations are linguistic facts, in our convention, on the same CC-BY-SA footing as the committed wikipron
# referee. Overrides SHIPPED whole-word output only; the rule engine (phonemizeWordRules) — and the referee
# eval — bypass it and stay the honest, non-circular signal.
# (c) GOOGLE-CONSENSUS EXPANSION (+134): pinned where Google language-resources/bn (CC-BY-4.0, a
#     THIRD independent source — non-Wiktionary, retroflex-correct) AND wikipron ben AGREE on the ɔ/o +
#     medial deletion, differ from the rule engine (vowel-only, consonant-skeleton-matched), and are NOT
#     gold words (the hand-adjudicated gold wins). Breaks the prior wikipron∩BengaliAI ~168 ceiling.
অংকন	ɔŋkon
অকাতরে	ɔkat̪ɔɾe
অকারণ	ɔkaɾon
অকুল	ɔkul
অকূল	ɔkul
অকৃতদার	ɔkɾit̪od̪aɾ
অখণ্ডতা	ɔkʰɔnɖot̪a
অখিলেশ	ɔkʰileʃ
অখুশি	ɔkʰuʃi
অগণিত	ɔɡonit̪o
অগ্নি	oɡni
অগ্নিকাণ্ড	oɡnikanɖo
অগ্নিগর্ভ	oɡniɡɔɾbʱo
অগ্নিদগ্ধ	oɡnid̪ɔɡd̪ʱo
অগ্নিশিখা	oɡniʃikʰa
অগ্রগতি	ɔɡɾoɡot̪i
অগ্রবর্তী	ɔɡɾoboɾt̪i
অগ্রভাগ	ɔɡɾobʱaɡ
অগ্রিম	oɡɾim
অঙ্গন	ɔŋɡon
অজগর	ɔd͡ʒoɡɔɾ
অথবা	ɔt̪ʰoba
অন্ধকার	ɔnd̪ʱokaɾ
অপভ্রংশ	ɔpobʱɾɔŋʃo
অপরাধ	ɔpoɾad̪ʱ
অপারেশন	ɔpaɾeʃon
অপিনিহিতি	ɔpiniɦit̪i
অফিস	ɔpʰiʃ
অবতার	ɔbot̪aɾ
অভীষ্ট	ɔbʱiʃʈo
অমন	ɔmon
অমিত	ɔmit̪
অমিতাভ	ɔmit̪abʱ
অরিজিনাল	ɔɾid͡ʒinal
অরিন্দম	ɔɾind̪ɔm
অর্ণব	ɔɾnob
অর্ধমৃত	ɔɾd̪ʱomɾit̪o
অলস	ɔloʃ
অসি	ɔʃi
অসুখ	ɔʃukʰ
অসুস্থ	ɔʃuʃt̪ʰo
অহরহ	ɔɦoɾɔɦo
আচমকা	at͡ʃomka
আচরণ	at͡ʃoɾon
