នៅម៉ោង 11:20 ប៉ូលីសបានស្នើឲ្យក្រុមអ្នកតវ៉ា វិលត្រឡប់ទៅលើទីលានក្រាលថ្មវិញ ដោយបញ្ជាក់ថា ពួកគេត្រូវថ្លឹងថ្លែងសិទ្ធិក្នុងការតវ៉ាជាមួយនឹងការធ្វើឲ្យកកស្ទះចរាចរណ៍	nɨw maoŋ ɗɑp muəj mpʰɨj poːliːh ɓaːn snaə ʔaoj krom neəʔ tɑːʋaː ʋɨl trɑlɑp toh ləː tiːliən kraːl tʰmɑː ʋɨɲ ɗaoj ɓɑɲceəʔ tʰaː puək kei trəw tʰləŋ tʰlaeŋ sət knoŋ kaː tɑːʋaː ciəmuəj nɨŋ kaː tʰʋəː ʔaoj kɑːk steəh cɑraːcɑː
នៅម៉ោង 11:20 ប៉ូលីសបានស្នើឲ្យក្រុមអ្នកតវ៉ា វិលត្រឡប់ទៅលើទីលានក្រាលថ្មវិញ ដោយបញ្ជាក់ថា ពួកគេត្រូវថ្លឹងថ្លែងសិទ្ធិក្នុងការតវ៉ាជាមួយនឹងការធ្វើឲ្យកកស្ទះចរាចរណ៍	nɨw maoŋ ɗɑp muəj mpʰɨj poːliːh ɓaːn snaə ʔaoj krom neəʔ tɑːʋaː ʋɨl trɑlɑp toh ləː tiːliən kraːl tʰmɑː ʋɨɲ ɗaoj ɓɑɲceəʔ tʰaː puək kei trəw tʰləŋ tʰlaeŋ sət knoŋ kaː tɑːʋaː ciəmuəj nɨŋ kaː tʰʋəː ʔaoj kɑːk steəh cɑraːcɑː
ការដាច់ចរន្តអគ្គិសនី ក្រោយពីការធ្វើតេស្តប្រព័ន្ធបញ្ជាត្រួតពិនិត្យអគ្គិភ័យជាប្រចាំ បណ្ដាលឲ្យក្បាលវ៉ាល់សង្គ្រោះ របើក និងធ្វើឲ្យប្រេងឆៅហូរហៀខ្លាំងនៅក្បែរស្ថានីយប៉ូមប្រេងទី9 ឈ្មោះ ហ្វត ហ្គ្រីលី (Fort Greely	kaː ɗac cɑrɑn ʔɑkisəniː kraoj piː kaː tʰʋəː teːh prɑpoən ɓɑɲciə truət pinɨt ʔɑkipʰɨj ciə prɑcam ɓɑnɗaːl ʔaoj kɓaːl ʋal sɑŋkruəh rɔɓaək nɨŋ tʰʋəː ʔaoj preːŋ cʰaw hou hiə kʰlɑŋ nɨw kɓae stʰaːniː poːm preːŋ tiː pramɓuən cʰmuəh fɑːt hkriː liː fˈɔːɹt ɡɹˈiːli
ប៉ូលិសបាននិយាយថា ពួកគេមានការសង្ស័យទៅលើពួកសកម្មប្រយុទ្ធក្រុម Daesh (ISIL) ដែលទទួលខុសត្រូវសម្រាប់ការវាយប្រហារនេះ	poulih ɓaːn nijiəj tʰaː puək kei miən kaː sɑŋsaj toh ləː puək sɑkɑm prɑjut krom dˈɛʃ ˈɪzəɫ ɗael tɔtuəl kʰoh trəw sɑmrap kaː ʋiəjprɑhaː nih
ទីក្រុងវ៉ាទីកង់ (Vatican City ប្រើភាសាអ៊ីតាលី​ក្នុងការតាក់​តែង​ច្បាប់ និងទំនាក់ទំនងផ្លូវការ។	tiːkroŋ ʋaːtiːkɑŋ vˈæt̬ɪkən sˈɪt̬i praə pʰiəsaː ʔiːtaːliː knoŋ kaː tak taeŋ cɓap nɨŋ tumneəktumnɔːŋ pləwkaː .
អ្នកថតរូបត្រូវបានបញ្ជូនទៅមជ្ឈមណ្ឌលវេជ្ជសាស្ត្រ រ៉ូណាល់ រីហ្គឹន (Ronald Reagan UCLA) ដែលជាកន្លែងដែលអ្នកថតរូបនោះគាត់បានស្លាប់នៅពេលបន្ទាប់មក	neəʔ tʰɑːt ruːp trəw ɓaːn ɓɑɲcuːn toh mɑccʰeəmuənɗuəl ʋɨcceəsaːh roːnal riːhkɨn ɹˈɑːnəɫd ɹˈeᶦɡən ˈuːklɑː ɗael ciə kɑnlaeŋ ɗael neəʔ tʰɑːt ruːp nuh koət ɓaːn slap nɨw peil ɓɑntoəp mɔːk
មួយវិញទៀត ត្រូវប្រាកដថាបញ្ចេញសំលេងលើអក្សរ r និង rr គឺខុសគ្នា ឧទាហរណ៍: caro មានន័យថាជាទីស្រឡាញ់ ចំណែក carro មានន័យថារទេះចម្បាំងជំនាន់ដើម	muəj ʋɨɲ tiət trəw praːkɑt tʰaː ɓɑɲcəɲ sɑmleːŋ ləː ʔɑksɑː ˈɑːɹ nɨŋ ˈɑːɹɑːɹ kɨː kʰoh kniə ʔutiəhɑː kʰˈɑːɹoᶷ miən nɨj tʰaː ciə tiː srɑlaɲ cɑmnaek kʰˈɑːɹoᶷ miən nɨj tʰaː rɔteh cɑmɓaŋ cumnoən ɗaəm
រាល់ប្រាសាទទាំងអស់មានទីធ្លាព្រះវិហារបើកចំហដំបូលបន្ទាប់មកមានទីសក្ការៈនៅខាងក្នុង ដែលមានតែក្រុមបូជាចារ្យតែប៉ុណ្ណោះដែលអាចចូលទៅក្នុងនោះបាន	roəl praːsaːt teəŋʔɑh miən tiːtliə preəhʋiʔhiə ɓaək cɑmhɑː ɗɑmɓoul ɓɑntoəp mɔːk miən tiː saʔkaːraʔ nɨw kʰaːŋ knoŋ ɗael miən tae krom ɓoːciəcaː tae ponnɑh ɗael ʔaːc coul toh knoŋ nuh ɓaːn
កសិកម្មចិញ្ចឹមក្រពះ គឺជាប្រភេទកសិកម្មដែលគេធ្វើឡើង ដើម្បីផលិតស្បៀងអាហារអោយបាន គ្រប់គ្រាន់ សម្រាប់តែបំពេញសេចក្តីត្រូវការ និងចិញ្ចឹមក្រុមគ្រួសាររបស់អ្នកធ្វើតែប៉ុណ្ណោះ	kɑsekɑm cəɲcəm krɑpeəh kɨː ciə prɑpʰeit kɑsekɑm ɗael kei tʰʋəː laəŋ ɗaəmɓəj pʰɑlɨt sɓiəŋ ʔaːhaː ʔaoj ɓaːn krupkroən sɑmrap tae ɓɑmpɨɲ sɑckɗəj trəw kaː nɨŋ cəɲcəm krom kruəsaː rɔɓɑh neəʔ tʰʋəː tae ponnɑh
វិធីតែមួយគត់ ដើម្បីឆ្លងកាត់បានលឿន គឺត្រូវដាក់អីវ៉ាន់របស់អ្នកត្រួតពិនិត្យជាមុនសិន ច្បាប់ខាងអាកាសចរនឹងមិនអនុញ្ញាតឱ្យអីវ៉ាន់ចូលដោយគ្មានអ្នកដំណើរ ដែលចាំបាច់ត្រូវតែឱ្យលោកអ្នកចូលទៅដែរ	ʋitʰiː tae muəjkuət ɗaəmɓəj clɑːŋkat ɓaːn lɨən kɨː trəw ɗak ʔiːʋan rɔɓɑh neəʔ truət pinɨt ciə mun sən cɓap kʰaːŋ ʔaːkaːh cɑː nɨŋ mɨn ʔɑnuɲɲaːt ʔaoj ʔiːʋan coul ɗaoj kmiən neəʔ ɗɑmnaə ɗael camɓac trəw tae ʔaoj loːk neəʔ coul toh ɗae
