ھەركىم ئۆزى يازالايدىغان ئوچۇق ئېنسكلوپېدىيە	hɛrkim ʔøzi jɑzɑlɑjdiʁɑn ʔot͡ʃuq ʔensklopedijɛ
تەستىقلانغاندۆلەت دەرىجىلىك ئېكولوگىيىلىك ئۈلگە رايوندىن 8ى بار، ئومۇمىي كۆلىمى 127مىڭ 600 كۋادرات كىلومېتىر، ئاپتونوم رايونىمىزنىڭ يەر كۆلىمىنىڭ ٪6.7نىئىگىلەيدۇ؛	tɛstiqlɑnʁɑndølɛt dɛrid͡ʒilik ʔekoloɡijilik ʔylɡɛ rɑjondin sɛkkiz i bɑr , ʔomumij kølimi jyz jiɡirmɛ jɛttɛ miŋ ʔɑltɛ jyz kwɑdrɑt kilometir , ʔɑptonom rɑjonimizniŋ jɛr køliminiŋ ʔɑltɛ jɛttɛ pirsɛnt niʔiɡilɛjdu ,
1957 -، 1976 - يىللاردا موسكۋادا نەشر قىلىنغان لۇتپۇللا مۇتەللىپنىڭ تولۇقلانغان رۇسچە توپلىمىغا ئۇنىڭ 65 شېئىرى، بىر داستانى، ئىككى فېليەتونى، ئىككى كومېدىيىسى، ئۈچ ماقالىسى كىرگۈزۈلدى.	miŋ toqquz jyz ʔɛllik jɛttɛ , miŋ toqquz jyz jɛtmiʃ ʔɑltint͡ʃi jillɑrdɑ moskwɑdɑ nɛʃr qilinʁɑn lutpullɑ mutɛllipniŋ toluqlɑnʁɑn rust͡ʃɛ toplimiʁɑ ʔuniŋ ʔɑtmiʃ bɛʃ ʃeʔiri , bir dɑstɑni , ʔikki peljɛtoni , ʔikki komedijisi , ʔyt͡ʃ mɑqɑlisi kirɡyzyldi .
دۆلەت. ئۇنىڭ پايتەختى بولسا ھارارې، ئەڭ چوڭ شەھرى بولسا ھارارې. دۆلەت تىلى بولسا ئىنگلىزچە. ھازىرقى پرېزىدېنت ئەممەرسون مناڭاگۋا. ھازىرقى باش ۋەزىر كونستانتىنو چىۋەڭا ۋە كەمبو موھادى. بۇ دۆلەت 1965 يىلى 11 ئاينىڭ 11 كۈنى مۇستەقىل بولغان، يەر مەيدانى 390 مىڭ 757 كۋادرات	dølɛt . ʔuniŋ pɑjtɛχti bolsɑ hɑrɑre , ʔɛŋ t͡ʃoŋ ʃɛhri bolsɑ hɑrɑre . dølɛt tili bolsɑ ʔinɡlizt͡ʃɛ . hɑzirqi prezident ʔɛmmɛrson mnɑŋɑɡwɑ . hɑzirqi bɑʃ wɛzir konstɑntino t͡ʃiwɛŋɑ wɛ kɛmbo mohɑdi . bu dølɛt miŋ toqquz jyz ʔɑtmiʃ bɛʃ jili ʔon bir ʔɑjniŋ ʔon bir kyni mustɛqil bolʁɑn , jɛr mɛjdɑni ʔyt͡ʃ jyz toqsɑn miŋ jɛttɛ jyz ʔɛllik jɛttɛ kwɑdrɑt
مائەنشەن شەھىرى بولسا جۇڭگو ئەنخۇي ئۆلكىسى دىكىبىخاھار 2007 نوپۇس بار، مائەنشەننىڭ 1،281،000 نوپۇسىبار، 1،686 كم² دائىرائىقىدا نوپۇس جايلاخكان، خىمالىكاڭ لىك 31.42°، خارىكى ئۇزۇنلۇك 118°21، رايۇننومۇرى 555.	mɑʔɛnʃɛn ʃɛhiri bolsɑ d͡ʒuŋɡo ʔɛnχuj ʔølkisi dikibiχɑhɑr ʔikki miŋ jɛttɛ nopus bɑr , mɑʔɛnʃɛnniŋ bir miljon ʔikki jyz sɛksɛn bir miŋ nopusibɑr , miŋ ʔɑltɛ jyz sɛksɛn ʔɑltɛ kwɑdrɑt kilometir dɑʔirɑʔiqidɑ nopus d͡ʒɑjlɑχkɑn , χimɑlikɑŋ lik ʔottuz bir qiriq ʔikki ɡrɑdus , χɑriki ʔuzunluk jyz ʔon sɛkkiz ɡrɑdus jiɡirmɛ bir , rɑjunnomuri bɛʃ jyz ʔɛllik bɛʃ .
بەشىنچى رەتكە ئەخلاق ۋە سىياسىينى تۆتكە تارماقلايدۇ:	bɛʃint͡ʃi rɛtkɛ ʔɛχlɑq wɛ sijɑsijni tøtkɛ tɑrmɑqlɑjdu
47- ماددا مۇدىرلارنىڭ ۋاكالەت مۇددىتى شىركەت نىزامىنامىسىدە بەلگىلىنىدۇ، لېكىن ھەرنۆۋەتلىك ۋاكالەت مۇددىتى ئۈچ يىلدىن ئېشىپ كەتسە بولمايدۇ. مۇدىرلار ۋاكالەت مۇددىتى توشقاندىن كېيىن داۋاملىق سايلانسا، داۋاملىق ۋەزىپە ئۆتىسە بولىدۇ.	qiriq jɛttint͡ʃi mɑddɑ mudirlɑrniŋ wɑkɑlɛt mudditi ʃirkɛt nizɑminɑmisidɛ bɛlɡilinidu , lekin hɛrnøwɛtlik wɑkɑlɛt mudditi ʔyt͡ʃ jildin ʔeʃip kɛtsɛ bolmɑjdu . mudirlɑr wɑkɑlɛt mudditi toʃqɑndin kejin dɑwɑmliq sɑjlɑnsɑ , dɑwɑmliq wɛzipɛ ʔøtisɛ bolidu .
مۇدىرلار، دىرېكتورلار شىركەتنىڭ مەبلىغىنى ئىشلىتىۋالغان ياكى شەركەتنىڭ مەبلىغىنى باشقىلارغا بۇيرۇلىدۇ، شىركەت ئۇلارغا چارە كۆرىدۇ. ئۇلارنىڭ تاپاۋەت قىلىغان كىرىمى شىركەت ئىلكىگە ئۆتكۈزۈۋېلىنىدۇ. جىنايەت شەكىللەندۇرگەنلەرنىڭ جىنايى جاۋابكارلىقى قانۇن بويىچە سۈرۈشتۈرۈلىدۇ.	mudirlɑr , direktorlɑr ʃirkɛtniŋ mɛbliʁini ʔiʃlitiwɑlʁɑn jɑki ʃɛrkɛtniŋ mɛbliʁini bɑʃqilɑrʁɑ bujrulidu , ʃirkɛt ʔulɑrʁɑ t͡ʃɑrɛ køridu . ʔulɑrniŋ tɑpɑwɛt qiliʁɑn kirimi ʃirkɛt ʔilkiɡɛ ʔøtkyzywelinidu . d͡ʒinɑjɛt ʃɛkillɛndurɡɛnlɛrniŋ d͡ʒinɑji d͡ʒɑwɑbkɑrliqi qɑnun bojit͡ʃɛ syryʃtyrylidu .
كىئۇفۇيۇتى تەڭرىقۇتنىڭ ئىنىسى ، مىلادىيە 57-يىلىدىن 59-يىلىغىچە تەختە ئولتۇرغان ، ئۇ تەختتە ئولتۇرغان مەزگىلدە ، شىمالىي ھۇنلاردىن قۇيچۇ مىڭدىن ئارتۇق ئادەمنى باشلاپ كېلىپ جەنۇبىي ھۇنلارغا تەسلىم بولغان ، ئۇ مىلادىيە 59-يىلى ۋاپات بولغان .	kiʔupujuti tɛŋriqutniŋ ʔinisi , milɑdijɛ ʔɛllik jɛttint͡ʃi jilidin ʔɛllik toqquzint͡ʃi jiliʁit͡ʃɛ tɛχtɛ ʔolturʁɑn , ʔu tɛχttɛ ʔolturʁɑn mɛzɡildɛ , ʃimɑlij hunlɑrdin qujt͡ʃu miŋdin ʔɑrtuq ʔɑdɛmni bɑʃlɑp kelip d͡ʒɛnubij hunlɑrʁɑ tɛslim bolʁɑn , ʔu milɑdijɛ ʔɛllik toqquzint͡ʃi jili wɑpɑt bolʁɑn .
تاتارلار، دۇنيادا كىتاب ئوقۇش نىسبىتى ئەڭ يۇقىرى بولغان بىر مىللەت ھېسابلىنىدۇ. تاتارىستاندا 1800 كۇتۇپخانا بار. 135 خىل گېزىت-ژورنال نەشر قىلىنماقتا.	tɑtɑrlɑr , dunjɑdɑ kitɑp ʔoquʃ nisbiti ʔɛŋ juqiri bolʁɑn bir millɛt hesɑblinidu . tɑtɑristɑndɑ miŋ sɛkkiz jyz kutupχɑnɑ bɑr . jyz ʔottuz bɛʃ χil ɡezit ʒornɑl nɛʃr qilinmɑqtɑ .
«كۈسەن مەدەنىيىتنىڭ تارىخىي قىممىتى» ("ئىشچىلار ۋاقىت گېزىتى" 1993- يىللىق 23- ئۆكتەبىردىكى سانى ).	kysɛn mɛdɛnijitniŋ tɑriχij qimmiti ʔiʃt͡ʃilɑr wɑqit ɡeziti miŋ toqquz jyz toqsɑn ʔyt͡ʃint͡ʃi jilliq jiɡirmɛ ʔyt͡ʃint͡ʃi ʔøktɛbirdiki sɑni .
