Sonda meniń qurayday, solǵanım dep, háwjar.»	sonˈdɑ meˈniŋ qurɑjˈdɑj , solʁɑˈnɯm ˈdep , hæwˈʒɑr .
kóshpes múlkke qoyılǵan obligatsiyalar, girew qaǵazları olardıń támiyinlewshileri boladı. Girew qádimgi yamasa arnawlı múlk (jańa zavod) penen támiyinleniwi múmkin;	køʃˈpes mylkˈke qojɯlˈʁɑn obliɡɑtsijɑˈlɑr , ɡiˈrew qɑʁɑzlɑˈrɯ olɑrˈdɯŋ tæmijinlewʃileˈri bolɑˈdɯ . ɡiˈrew qædimˈɡi jɑmɑˈsɑ ɑrnɑwˈlɯ ˈmylk ʒɑˈŋɑ zɑˈvod peˈnen tæmijinleniˈwi mymˈkin ,
20-ásir mamanlarınıń aytıwı boyınsha, Rembrant ómir dawamında 600dan aslam kartina , 400ge jaqın ofort, hám 2,000 sızba súwretler salǵan .	ʒiɡirˈmɑ æˈsir mɑmɑnlɑrɯˈnɯŋ ɑjtɯˈwɯ bojɯnˈʃɑ , rembˈrɑnt øˈmir dɑwɑmɯnˈdɑ ɑlˈtɯ ˈʒyz ˈdɑn ɑsˈlɑm kɑrtiˈnɑ , ˈtørt ˈʒyz ˈɡe ʒɑˈqɯn oˈfort , ˈhæm eˈki ˈmɯŋ sɯzˈbɑ sywretˈler sɑlˈʁɑn .
tetine dekan bolip saylandi. Kant ómiri dawaminda Konisberge qalasinan júz kilmoetr kóbirek qashiqliqqa shiǵip kórmegen. Kant ólerinde tek bir sóz aytqan: «Jeterli».	tetiˈne deˈkɑn boˈlip sɑjlɑnˈdi . ˈkɑnt ømiˈri dɑwɑminˈdɑ konisberˈɡe qɑlɑsiˈnɑn ˈʒyz kilmoˈetr købiˈrek qɑʃiqliqˈqɑ ʃiˈʁip kørmeˈɡen . ˈkɑnt ølerinˈde ˈtek ˈbir ˈsøz ɑjtˈqɑn , ʒeterˈli .
Xalıqtıń 62% katolikler, 32% jergilikli dástúriy dinlerge ámel etedi, 6% musulmanlar. Rásmiy tili kirundi hám francuz tilleri. Xalıqtıń 6,3% qalalarda jasaydı. Iri qalaları: Bujumbura, Gitega, Muramvya.	χɑlɯqˈtɯŋ ɑlˈpɯs eˈki proˈkent kɑtolikˈler , oˈtɯz eˈki proˈkent ʒerɡilikˈli dæstyˈrij dinlerˈɡe æˈmel eteˈdi , ɑlˈtɯ proˈkent musulmɑnˈlɑr . ræsˈmij tiˈli kirunˈdi ˈhæm frɑnˈkuz tilleˈri . χɑlɯqˈtɯŋ ɑlˈtɯ ˈyʃ proˈkent qɑlɑlɑrˈdɑ ʒɑsɑjˈdɯ . ɯˈri qɑlɑlɑˈrɯ , buʒumbuˈrɑ , ɡiteˈɡɑ , murɑmvˈjɑ .
L'Appartamento, Billy Wilder — 2009–2010	l ɑppɑrtɑmenˈto , ˈbillj wilˈder eˈki ˈmɯŋ toˈʁɯz , eˈki ˈmɯŋ ˈon
Avgust (lat. Augustus) — Grigorian kalendarı boyınsha jıldıń segizinshi ayı. 31 kúnnen ibarat.	ɑvˈɡust ˈlɑt . ɑuɡusˈtus ɡriɡoriˈɑn kɑlendɑˈrɯ bojɯnˈʃɑ ʒɯlˈdɯŋ seɡizinˈʃi ɑˈjɯ . oˈtɯz ˈbir kynˈnen ibɑˈrɑt .
Milliy ideya ham mánawiyat tiykarları, huquq tálimi	milˈlij ideˈjɑ ˈhɑm mænɑwiˈjɑt tijkɑrlɑˈrɯ , huˈquq tæliˈmi
joqarı tálim mákemelerinde ilimiy-izertlew jumısların nátiyjeli shólkemlestiriw, izertlew nátiyjelerin ámeliyatqa keń engiziw, ilimiy islenbelerdi kommerciyalastırıw, joqarı tálim, pán hám óndiristiń óz-ara bekkem integraciyasın támiyinlew, ilimiy-izertlew jumıslarına intalı jaslardı keń qosıw hám de olardı hár tárepleme qollap-quwatlaw ;	ʒoqɑˈrɯ tæˈlim mækemelerinˈde iliˈmij izertˈlew ʒumɯslɑˈrɯn nætijʒeˈli ʃølkemlestiˈriw , izertˈlew nætijʒeleˈrin æmelijɑtˈqɑ ˈkeŋ enɡiˈziw , iliˈmij islenbelerˈdi kommerkijɑlɑstɯˈrɯw , ʒoqɑˈrɯ tæˈlim , ˈpæn ˈhæm øndirisˈtiŋ ˈøz ɑˈrɑ bekˈkem inteɡrɑkijɑˈsɯn tæmijinˈlew , iliˈmij izertˈlew ʒumɯslɑrɯˈnɑ intɑˈlɯ ʒɑslɑrˈdɯ ˈkeŋ qoˈsɯw ˈhæm ˈde olɑrˈdɯ ˈhær tærepleˈme qolˈlɑp quwɑtˈlɑw ,
assert operatorı, sazlawda qollanılıwı kerek bolǵan shártlerdi tekseriw ushın paydalanıladı.	ɑsˈsert operɑtoˈrɯ , sɑzlɑwˈdɑ qollɑnɯlɯˈwɯ keˈrek bolˈʁɑn ʃærtlerˈdi tekseˈriw uˈʃɯn pɑjdɑlɑnɯlɑˈdɯ .
Programmanıń jańa talqini islep shıǵilıwı menen onıń múmkinshilikleri keńeytirip barıladı. Búgingi kúnde qiyidagi múmkinshilikler ámeldegi[4]:	proɡrɑmmɑˈnɯŋ ʒɑˈŋɑ tɑlqiˈni isˈlep ʃɯʁilɯˈwɯ meˈnen oˈnɯŋ mymkinʃilikleˈri keŋejtiˈrip bɑrɯlɑˈdɯ . byɡinˈɡi kynˈde qijidɑˈɡi mymkinʃilikˈler æmeldeˈɡi ˈtørt ,
B. Qayıpnazarov 1951-1956-jılları Moskvadaǵı M. Gorkiy atındaǵı ádebiyat institutında oqıdı. Al, 1956-1958-jılları «Ámiwdárya» jurnalının bas redaktorı, Jazıwshılar awqamında másláhátshi (1958-1963), «Ámiwdárya» jurnalında bólim baslıǵı, 1967-jıldan húrmetli demalısqa shıqqanǵa shekem (1986) «Qaraqalpaqstan» baspasında aǵa redaktor boldı. B. Qayıpnazarov 1939-jıldan Jazıwshılar awqamınıń aǵzası.	b . qɑjɯpnɑzɑˈrov ˈmɯŋ toˈʁɯz ˈʒyz eˈliw ˈbir , ˈmɯŋ toˈʁɯz ˈʒyz eˈliw ɑlˈtɯ ʒɯllɑˈrɯ moskvɑdɑˈʁɯ m . ɡorˈkij ɑtɯndɑˈʁɯ ædebiˈjɑt institutɯnˈdɑ oqɯˈdɯ . ˈɑl , ˈmɯŋ toˈʁɯz ˈʒyz eˈliw ɑlˈtɯ , ˈmɯŋ toˈʁɯz ˈʒyz eˈliw seˈɡiz ʒɯllɑˈrɯ æmiwdærˈjɑ ʒurnɑlɯˈnɯn ˈbɑs redɑktoˈrɯ , ʒɑzɯwʃɯˈlɑr ɑwqɑmɯnˈdɑ mæslæhætˈʃi ˈmɯŋ toˈʁɯz ˈʒyz eˈliw seˈɡiz , ˈmɯŋ toˈʁɯz ˈʒyz ɑlˈpɯs ˈyʃ , æmiwdærˈjɑ ʒurnɑlɯnˈdɑ bøˈlim bɑslɯˈʁɯ , ˈmɯŋ toˈʁɯz ˈʒyz ɑlˈpɯs ʒeˈti ʒɯlˈdɑn hyrmetˈli demɑlɯsˈqɑ ʃɯqqɑnˈʁɑ ʃeˈkem ˈmɯŋ toˈʁɯz ˈʒyz sekˈsen ɑlˈtɯ qɑrɑqɑlpɑqsˈtɑn bɑspɑsɯnˈdɑ ɑˈʁɑ redɑkˈtor bolˈdɯ . b . qɑjɯpnɑzɑˈrov ˈmɯŋ toˈʁɯz ˈʒyz oˈtɯz toˈʁɯz ʒɯlˈdɑn ʒɑzɯwʃɯˈlɑr ɑwqɑmɯˈnɯŋ ɑʁzɑˈsɯ .
Ferrari 1973-jılda Berlinetta Boxermenen orta dvigatelli 12 cilindrli jangga kirdi. Keyinirek Testarossa (sonıń menen birge, orta dvigatelli 12 cilindrli) barlıq dáwirler degi eń ataqlı hám ataqlı Ferrari jol avtomobillerinen biri bolıp qalıp atır.	ferrɑˈri ˈmɯŋ toˈʁɯz ˈʒyz ʒetˈpis ˈyʃ ʒɯlˈdɑ berlinetˈtɑ boχermeˈnen orˈtɑ dviɡɑtelˈli ˈon eˈki kilindrˈli ʒɑnɡˈɡɑ kirˈdi . kejiniˈrek testɑrosˈsɑ soˈnɯŋ meˈnen birˈɡe , orˈtɑ dviɡɑtelˈli ˈon eˈki kilindrˈli bɑrˈlɯq dæwirˈler deˈɡi ˈeŋ ɑtɑqˈlɯ ˈhæm ɑtɑqˈlɯ ferrɑˈri ˈʒol ɑvtomobilleriˈnen biˈri boˈlɯp qɑˈlɯp ɑˈtɯr .
Xorezmiy haqıyqıy muxabbat hám gózzallıqqa tolı ómir ózi jasap turǵan dáwir — dep túsindirmekshi boladı. Sebebi ol ashıq bolıp qalǵan qız «o dúnya» perishtelerinen de gózzallıraq.	χorezˈmij hɑqɯjˈqɯj muχɑbˈbɑt ˈhæm ɡøzzɑllɯqˈqɑ toˈlɯ øˈmir øˈzi ʒɑˈsɑp turˈʁɑn dæˈwir ˈdep tysindirmekˈʃi bolɑˈdɯ . sebeˈbi ˈol ɑˈʃɯq boˈlɯp qɑlˈʁɑn ˈqɯz ˈo dynˈjɑ periʃteleriˈnen ˈde ɡøzzɑllɯˈrɑq .
jap-salmalardı, ózek, arnalardı tazalaw, hátteki tıńnan	ˈʒɑp sɑlmɑlɑrˈdɯ , øˈzek , ɑrnɑlɑrˈdɯ tɑzɑˈlɑw , hætteˈki tɯŋˈnɑn
