# Khmer THIRD-TIER lexicon — word → IPA, from en.wiktionary via kaikki.org.
#
# SOURCE:  https://kaikki.org/dictionary/Khmer/ (wiktextract of en.wiktionary)
# LICENSE: CC BY-SA 4.0 — Wiktionary content; see LICENSES/PROVENANCE.md §3 (share-alike fence).
#
# ⚠ SAME LINEAGE AS THE WIKIPRON REFEREE (both are en.wiktionary), which is why it is a LEXICON and can never
#   be a referee. Its value is coverage: words the wikipron scrape lacks — newer entries and compounds written
#   solid. It contains NO word the referee covers (those are settled: km-lexicon.tsv or rules-correct), and
#   ONLY words where the rules disagree with the converted reading (the exceptions principle).
# ⚠ CONSULTED AFTER km-lexicon.tsv AND BEFORE km-lexicon-dict.tsv: wikipron-verified wins, then same-lineage
#   human readings, then the converted Google dictionary, then rules.
# ⚠ NOT IPA from {{km-IPA}} — wiktextract does not expand it — but the human-curated headword romanization,
#   converted by tools/gen/build-km-kaikki-lexicon.mts (validated 97.7% against wikipron on 6,564 shared words).
#
# Regenerate: npx tsx tools/gen/build-km-kaikki-lexicon.mts <kaikki.org-dictionary-Khmer.jsonl>
# ENTRIES: 557
កកកុញ	kkoɲ
កងកម្លាំងប្រដាប់អាវុធ	kɑːŋkɑːkɑmlaŋprɑːɗapʔaːʋut
កងទ័ព	kɑːŋtoəp
កងទ័ពជើងទឹក	kɑːŋtoəpcəːŋtɨk
កងពល	kɑːŋpuəl
កណ្ដុរប្រែង	kɑnɗolpraeŋ
កណ្ដុរស្រូវ	kɑnɗaosrəw
កណ្តាល	kɑnɗaːl
កន្លងទៅ	kɑnlɔːŋtɨw
កន្លងមក	kɑnlɔːŋmɔːk
កន្សោមកិរិយា	kɑnsaomkerijaː
កំពង់ស្ពឺ	kɑmpuəŋspɨː
កម្មការិនី	kamkaːrenəj
កលហៈ	kaʔlaʔhaʔ
កវែង	kɑːʋɛːŋ
កាំជណ្ដើរ	kamcɔːcuənɗaə
កាត់បន្ថយ	katɓɑːɓɑntʰɑːj
កាមធាតុ	kaːmtʰiət
ការឃោសនា	kaːkʰoːsaʔnaː
ការងារ	kaːŋiə
ការដាច់រយះ	kaːɗacrɔːrɔjeəh
ការដើរផ្សងព្រេង	ɗaəpʰsɑːŋpreiŋ
ការបញ្ចេញសំឡេង	kaːɓɑːɲcəɲsɑmleːŋ
ការបដិវត្តន៍	kaːpaʔɗeʋoət
ការផ្សាយពាណិជ្ជកម្ម	kaːpʰsaːjpiənicceəʔkam
ការយល់	kaːjuəl
ការលបចូលលួច	kaːlɔːpcoulluəc
ការសម្រេចចិត្ត	kaːsɑːsɑmraccət
កាលពីព្រេងនាយ	kaːlpiːpreiŋniəj
កិនស្រូវ	kənsrəw
កិរិយាវិសេសន៍	kerijaːʋisaeh
កីឡដ្ឋាន	keilaɗtʰan
កីឡាបាល់ទាត់	kəjlaːɓaltoət
កុម្មុយនិស្តនិយម	kommujnɨhnijum
កូនក្រមុំ	kounkrɑːmum
កើតមាន	kaətmiən
កែវស្ទង់កំដៅ	kaewstuəŋkɑmɗaw
កោះព្រីនអេដវឺដ	kɑhpriːnʔeːtʋɨːt
ក្នុងពេល	knoŋpeil
ក្នុងពេលដែល	knoŋpeilɗael
ក្រចកដៃ	krɑːcɑːkɗaj
ក្រីក្រ	krəjkrɑː
ក្រុងប៉ៃលិន	kroŋpajlɨn
ក្រៃលែង	krajlɛːŋ
ខាងលិច	kʰaːŋlɨc
ខុសចិត្តគេ	kʰohcətkei
ខែសុរិយគតិ	kʰaesorejeəʔkeəʔteʔ
ខោទ្រនាប់	kʰaotrɔːnoəp
ខ្ជាប់ខ្ជួន	kʰcoəpkʰcuən
ខ្ញុំមិនចេះនិយាយភាសាខ្មែរទេ	kʰɲommɨncehnijiəjpʰiəsaːkʰmaetei
ខ្ញុំមិនចេះនិយាយភាសាអង់គ្លេស	kʰɲommɨncehnijiəjpʰiəsaːʔɑŋkleih
ខ្ញុំមិនយល់ទេ	kʰɲommɨnjuəltei
ខ្ពង់មេឃ	kʰpuəŋmeik
ខ្លាធំ	kʰlaːtʰom
ខ្សាច់នារ	kʰsacniə
ខ្សែរូត	kʰsaeruːt
ខ្សែលួសធំ	kʰsaeluəhtʰom
ខ្សែសន្ទូច	kʰsaesɑːsɑntuːc
គក់ច្របាច់	kuəkcrɑːɓac
គគ្រីតគគ្រូស	kɔkriːtkɔːkɔkruːh
គង់វង្ស	kuəŋʋuəŋ
គត់គូ	kuətkuː
គាំងបេះដូង	keəŋɓehɗouŋ
គាំទ្រ	koəmtrɔː
គីមីវិទូ	kiːmiːʋituː
គុណកិរិយា	kunaʔkerijaː
គោមូត្រ	koːmout
គ្មានទីបញ្ចប់	kmiəntiːɓɑːɓɑɲcɑp
គ្មានបញ្ហា	kmiənɓɑːɓɑɲhaː
គ្រងរាជ	krɔːŋriəc
គ្រងរាជសម្បត្តិ	krɔːŋriəcsɑmɓat
គ្របគ្រង	krɔːpkrɔːŋ
គ្រប់គ្រង	krupkrɔːŋ
គ្រប់គ្រាន់	krupkroən
គ្រាប់ពូជ	kroəppuːc
គ្រាប់ភ្នែក	kroəppʰnɛːk
គ្រូបង្រៀន	kruːɓɑːŋriən
គ្រឿងអាវុធ	krɨəŋʔaːʋut
ឃរមូល	kʰeəʔreəʔmuːl
ចក្រភពអង់គ្លេស	cakkraʔpʰupʔɑŋkleih
ចងចាំ	cɑːŋcam
ចងភ្នែក	cɑːŋpʰnɛːk
ចចេចចចូច	cɑcəccɑːcɑcouc
ចំណងឈ្នាប់	cɑmnɑːŋcnoəp
ចំណងធ្នាក់	cɑmnɑːŋtʰneək
ច័ន្ទមុនី	cântômuni
ចំពាក់ចិត្ត	cɑmpeəkcət
ចម្លងសំឡេង	cɑːmlɑːŋsɑmleːŋ
ចរលីលា	cɑːliːliə
ចាកចេញ	caːkcəɲ
ចាប់យាម	capjiəm
ចាំសីល	camsəl
ចិត្តត្រង់	cəttrɑŋ
ចិត្តអត់ធ្មត់	cətʔɑttʰmuət
ចុះហត្ថលេខា	cohhattʰaʔleikʰaː
ចូលនិវត្តន៍	coulniʋoət
ចេញឈាម	cəɲciəm
ចេញថ្លៃ	cəɲtʰlaj
ចេញទៅ	cəɲtɨw
ចែករំលែក	caekrumlɛːk
ច្បាស់លាស់	cɓahloəh
ច្រកសមុទ្រ	crɑːksaʔmot
ច្រាសដុសធ្មេញ	craːhɗohtʰmɨɲ
ឆ្កួតវង្វេង	ckuətʋɔːʋuəŋʋeiŋ
ឆ្លងកាត់	clɑːŋkat
ជក់បារី	cuəkɓaːrəj
ជណ្ដើរយន្ត	cuənɗaəjuən
ជណ្ដើរយោង	cuənɗaəjoːŋ
ជនបរទេស	cuənɓɑːreəʔteih
ជនភៀសខ្លួន	cuənpʰiəhkʰluən
ជំនុំជំរះក្តី	cumnumcumreəhkɗəj
ជម្រាបលា	cumriəpliə
ជម្រាបសួរ	cumriəpsuə
ជ័រលុប	coəlup
ជាងគេបំផុត	ciəŋkeiɓɑmpʰot
ជាដរាប	ciəɗɑːɗɑraːp
ជាតិនិយម	ciətnijum
ជាប់យូរ	coəpjuː
ជាប់អណ្ដាត	coəpʔɑːʔɑnɗaːt
ជើងធ្មេញ	cəːŋtʰmɨɲ
ជើងអក្សរ	cəːŋʔɑːʔɑksɑː
ជឿជាក់	cɨəceək
ជោគជ័យ	coːkcɨj
ជ្រកកោន	crɔːkkaon
ជ្រលងភ្នំ	crɔːlɔːŋpʰnum
ឈប់និយាយ	cupnijiəj
ឈប់បុណ្យ	cupɓon
ឈប់សំរាក	cupsɑmraːk
ឈរតាមផ្លូវសុំដោយសារឡានគេ	cɔːtaːmpʰləwsomɗaojsaːlaːnkei
ឈរឡើង	cɔːlaəŋ
ឈឺធ្មេញ	cɨːtʰmɨɲ
ឈឺសន្លាក់ឆ្អឹង	cɨːsɑnlakcʔəŋ
ឈ្ងប់ឈ្ងុយ	cŋupcŋuj
ឈ្ងុយឈ្ងប់	cŋujcŋup
ញាតិមិត្តនិយម	ɲiətmɨtnijum
ដកដង្ហើម	ɗɑːkɗɑːɗɑŋhaəm
ដកស្រង់	ɗɑːksrɑŋ
ដំណឹងពាណិជ្ជកម្ម	ɗɑmnəŋpiənicceəʔkam
ដំណើរដេកលក់	ɗɑmnaəɗeːkluək
ដំបៅរលួយ	ɗɑmɓawrɔːrɔluəj
ដឹកជញ្ជូន	ɗəkcɔːcuəɲcuːn
ដឹកនាំ	ɗəknoəm
ដុំថ្ម	ɗomtʰmɑː
ដុសលាង	ɗohliəŋ
ដើរចេញ	ɗaəcəɲ
ដើរទេស	ɗaəteih
ដើរមក	ɗaəmɔːk
ដើរលេង	ɗaəleiŋ
ដេកលក់	ɗeːkluək
ដេញតាម	ɗəɲtaːm
ដេញថ្លៃ	ɗəɲtʰlaj
ដែលចំហរ	ɗêlcâmhâr
ដែលបើក	ɗêlɓaeuk
ដៃសមុទ្រ	ɗajsaʔmot
ឋាននរក	tʰaːnnɔːnɔruək
ឋានសួគ៌	tʰaːnsuə
តប់ប្រមល់	tɑpprɑːmuəl
តំរិះវិជ្ជា	tɑmrehʋicciə
តាមចន្លោះ	taːmcɑːcɑnluəh
តារាងខួបធាតុគីមី	taːraːŋkʰuəptʰiətkiːmiː
តារារណប	taːraːrɔːrɔnɑːp
តារាវិទូ	taːraːʋituː
តួអក្សរ	tuəʔaksɑː
តើអ្នកនិយាយភាសាខ្មែរទេ	taəneəknijiəjpʰiəsaːkʰmaetei
តើអ្នកនិយាយភាសាអង់គ្លេសទេ	taəneəknijiəjpʰiəsaːʔɑŋkleihtei
តើអ្នកមានអាយុប៉ុន្មានហើយ	taəneəkmiənʔaːjuʔponmaːnhaəj
តើអ្នករៀបការហើយឬនៅ	taəneəkriəpkaːhaəjrɨːnɨw
ត្របកភ្នែក	trɑːɓɑːkpʰnɛːk
ត្រឡប់មកវិញ	trɑːlɑpmɔːkʋɨɲ
ត្រីមឹក	trəjmɨk
ត្រឹមត្រូវ	trəmtrəw
ត្រូវការ	trəwkaː
ត្រូវតែ	trəwtae
ត្រូវលើ	trəwləː
ត្រួតពិនិត្យ	truətpinɨt
ត្រៀមខ្លួនជាស្រេច	triəmkʰluənciəsrəc
ថតកុន	tʰɑːtkon
ថតរូប	tʰɑːtruːp
ថីមិន	tʰəjmɨn
